n|d,2,3,4,5,6,7,8,9,10,11,12
1,,,,,,,,,,,
2,0,,,,,,,,,,
3,0,0,,,,,,,,,
4,2,0,0,,,,,,,,
5,2,1,0,0,,,,,,,
6,4,1,0,0,0,,,,,,
7,4,1,0,0,0,0,,,,,
8,6,3,0,0,0,0,0,,,,
9,6,3,0,0,0,0,0,0,,,
10,8,4,2,0,0,0,0,0,0,,
11,8,5,2,1,0,0,0,0,0,0,
12,10,6,4,1,0,0,0,0,0,0,0
13,10,7,5,1,0,0,0,0,0,0,0
14,12,8,6,3,0,0,0,0,0,0,0
15,12,9,7,4,0,0,0,0,0,0,0
16,14,10,8,5,2,0,0,0,0,0,0
17,14,11,9,6,3,1,0,0,0,0,0
18,16,12,9,6,4,1,0,0,0,0,0
19,16,13,10,7,5,1,0,0,0,0,0
20,18,13,11,8,6,3,0,0,0,0,0
21,18,15,12,9,7,4,0,0,0,0,0
22,19,15,14,10,8,5,2,0,0,0,0
23,20,16,14,11,9,6,3,1,0,0,0
24,21,17,15,12,10,7,4,1,0,0,0
25,22,18,16,13,11,8,5,1,0,0,0
26,23,19,17,14,12,9,7,3,0,0,0
27,24,20,18,15,12,10,8,4,0,0,0
28,25,21,19,15,14,11,9,5,2,1,1
29,26,22,20,16,14,11,9,6,3,2,2
30,27,23,21,17,15,12,10,7,4,4,3
31,27,24,22,18,16,13,11,8,5,4,4
32,28,25,23,19,17,14,12,9,7,5,5
33,29,25,24,20,18,15,13,10,8,6,6
34,30,26,24,21,19,16,14,11,9,7,7
35,31,27,25,22,20,17,15,12,10,8,8
36,32,28,26,23,21,18,16,13,11,10,9
37,33,29,27,24,22,18,16,13,12,10,10
38,34,30,28,25,23,19,17,15,12,11,11
39,35,31,29,25,23,20,18,15,14,13,13
40,36,32,30,26,25,21,19,16,14,13,13
41,37,32,31,27,25,22,20,18,16,15,15
42,38,33,32,28,26,23,21,18,16,15,15
43,39,34,33,29,27,24,22,19,17,17,17
44,40,35,34,30,28,25,23,20,18,18,18
45,41,36,34,31,29,25,24,21,19,18,18
46,41,37,35,32,30,26,25,22,20,20,20
47,42,38,36,33,31,27,25,22,20,20,20
48,43,39,37,33,32,28,25,23,21,21,21
49,44,40,38,34,33,30,25,25,25,25,25
50,45,41,39,35,34,30,25,25,25,25,25
51,46,42,40,36,34,31,25,25,25,25,25
52,47,42,41,37,35,32,25,25,25,25,25
53,48,43,42,38,36,33,32,28,28,28,28
54,49,44,43,39,37,34,32,31,31,31,31
55,50,45,44,40,38,34,33,31,31,31,31
56,51,46,45,41,39,35,33,31,31,31,31
57,52,47,45,41,40,36,34,31,31,31,31
58,53,48,46,42,41,37,35,33,33,33,33
59,54,49,47,43,42,38,36,33,33,33,33
60,55,50,48,44,42,39,37,35,35,35,35
61,55,51,49,45,43,40,38,35,35,35,35
62,56,52,50,46,44,41,40,36,36,36,36
63,57,52,51,47,45,41,40,36,36,36,36
64,58,53,52,48,46,42,41,41,41,41,41
65,59,54,53,49,47,43,41,41,41,41,41
66,60,55,54,50,48,44,42,42,42,42,42
67,61,56,54,50,49,45,43,42,42,42,42
68,62,57,55,51,50,46,45,42,42,42,42
69,63,58,56,52,50,47,45,42,42,42,42
70,64,59,57,53,51,48,46,45,45,45,45
71,65,60,58,54,52,49,47,45,45,45,45
72,66,60,59,55,53,50,49,45,45,45,45
73,67,61,60,56,54,50,49,46,46,46,46
74,67,62,61,57,55,51,50,50,50,50,50
75,68,63,62,58,56,52,52,50,50,50,50
76,69,64,63,58,57,53,53,50,50,50,50
77,70,65,64,59,58,54,54,50,50,50,50
78,71,66,64,60,59,55,55,55,55,55,55
79,72,67,65,61,59,57,56,56,56,56,56
80,73,68,66,62,60,57,56,56,56,56,56
81,74,69,67,63,61,57,56,56,56,56,56
82,75,70,68,64,62,59,58,58,58,58,58
83,76,71,69,65,63,59,58,58,58,58,58
84,77,71,70,66,64,60,60,60,60,60,60
85,78,72,71,67,65,61,61,61,61,61,61
86,79,73,72,67,66,62,61,61,61,61,61
87,80,74,73,68,67,63,61,61,61,61,61
88,80,75,74,69,68,64,63,63,63,63,63
89,81,76,74,70,69,65,63,63,63,63,63
90,82,77,75,71,69,65,64,64,64,64,64
91,83,78,76,72,70,66,65,65,65,65,65
92,84,79,77,73,71,67,66,66,66,66,66
93,85,80,78,74,72,68,66,66,66,66,66
94,86,80,79,75,74,69,69,69,69,69,69
95,87,81,80,75,74,70,70,70,70,70,70
96,88,82,81,76,75,71,70,70,70,70,70
97,89,83,82,77,76,72,70,70,70,70,70
98,90,84,83,78,77,73,73,73,73,73,73
99,91,85,84,79,77,73,73,73,73,73,73
100,92,86,84,80,78,78,78,78,78,78,78
