n|d,2,3,4,5,6,7,8,9,10,11,12
1,,,,,,,,,,,
2,0,,,,,,,,,,
3,0,0,,,,,,,,,
4,2,0,0,,,,,,,,
5,2,1,0,0,,,,,,,
6,4,1,0,0,0,,,,,,
7,4,1,0,0,0,0,,,,,
8,6,3,0,0,0,0,0,,,,
9,6,3,0,0,0,0,0,0,,,
10,7,4,2,0,0,0,0,0,0,,
11,8,5,2,1,0,0,0,0,0,0,
12,9,6,4,1,0,0,0,0,0,0,0
13,9,7,5,1,0,0,0,0,0,0,0
14,10,7,6,3,0,0,0,0,0,0,0
15,11,8,6,4,0,0,0,0,0,0,0
16,12,9,7,5,2,0,0,0,0,0,0
17,13,10,8,5,3,1,0,0,0,0,0
18,14,11,9,6,4,1,0,0,0,0,0
19,14,11,9,7,5,1,0,0,0,0,0
20,15,12,10,8,6,3,0,0,0,0,0
21,16,13,11,9,7,4,0,0,0,0,0
22,17,14,12,9,8,5,2,0,0,0,0
23,18,14,13,10,8,6,3,0,0,0,0
24,19,15,14,11,9,6,4,1,0,0,0
25,19,16,14,12,10,7,5,1,0,0,0
26,20,17,15,12,11,8,6,3,0,0,0
27,21,17,16,13,11,9,6,4,0,0,0
28,22,18,17,14,12,10,8,5,2,1,1
29,23,19,17,14,13,10,9,5,3,2,2
30,23,20,18,15,14,11,9,7,4,4,3
31,24,21,19,16,15,12,10,7,4,4,4
32,25,21,20,17,15,13,11,8,6,5,5
33,26,22,21,18,16,13,12,9,7,6,6
34,27,23,21,18,17,14,13,10,8,7,7
35,27,24,22,19,17,15,13,11,9,8,8
36,28,24,23,20,18,16,14,12,10,10,9
37,29,25,24,21,19,16,15,12,11,10,10
38,30,26,25,21,20,17,16,13,11,11,11
39,31,27,25,22,21,18,16,14,13,13,13
40,32,28,26,23,21,19,17,14,13,13,13
41,32,28,27,24,22,19,18,16,15,15,15
42,33,29,28,25,23,20,18,16,15,15,15
43,34,30,29,25,24,21,19,17,16,16,16
44,35,31,29,26,24,22,20,17,17,17,17
45,36,32,30,27,25,22,21,18,18,18,18
46,37,33,31,28,26,23,22,20,20,20,20
47,37,34,32,29,27,24,22,20,20,20,20
48,38,34,33,29,28,25,23,21,21,21,21
49,39,35,34,30,29,26,25,23,23,23,23
50,40,36,35,31,29,26,25,23,23,23,23
51,41,37,35,32,30,27,25,24,24,24,24
52,41,38,36,33,31,28,25,25,25,25,25
53,42,39,37,34,32,29,28,26,26,26,26
54,43,40,38,34,33,30,28,28,28,28,28
55,44,41,39,35,34,30,29,29,29,29,29
56,45,42,40,36,34,31,30,30,30,30,30
57,46,43,41,37,35,32,30,30,30,30,30
58,46,44,42,38,36,33,31,31,31,31,31
59,47,45,43,39,37,34,32,32,32,32,32
60,48,45,44,39,38,35,33,33,33,33,33
61,49,46,45,40,39,35,34,34,34,34,34
62,50,47,45,41,39,36,36,35,35,35,35
63,50,48,46,42,40,37,36,36,36,36,36
64,51,49,47,43,41,38,38,38,38,38,38
65,52,50,48,44,42,39,38,38,38,38,38
66,53,51,49,44,43,40,39,39,39,39,39
67,54,52,50,45,44,41,40,40,40,40,40
68,54,53,51,46,44,41,41,41,41,41,41
69,55,54,52,47,45,42,42,42,42,42,42
70,56,55,53,48,46,43,43,43,43,43,43
71,57,56,54,49,47,44,44,44,44,44,44
72,58,57,55,49,48,45,45,45,45,45,45
73,59,58,56,50,49,46,46,46,46,46,46
74,59,59,57,51,49,47,47,47,47,47,47
75,60,59,57,52,50,48,48,48,48,48,48
76,61,60,58,53,51,49,49,49,49,49,49
77,62,61,59,53,52,50,50,50,50,50,50
78,63,62,60,54,53,51,51,51,51,51,51
79,63,63,61,55,54,53,52,52,52,52,52
80,64,64,62,56,54,53,53,53,53,53,53
81,65,65,63,57,55,54,54,54,54,54,54
82,66,66,64,57,56,56,55,55,55,55,55
83,67,66,65,58,57,56,56,56,56,56,56
84,68,67,66,59,58,57,57,57,57,57,57
85,68,68,67,60,58,58,58,58,58,58,58
86,69,69,68,61,59,59,59,59,59,59,59
87,70,70,68,61,60,60,60,60,60,60,60
88,71,71,69,62,61,61,61,61,61,61,61
89,72,72,70,63,62,62,62,62,62,62,62
90,72,72,71,64,63,63,63,63,63,63,63
91,73,73,72,65,64,64,64,64,64,64,64
92,74,74,73,65,65,65,65,65,65,65,65
93,75,75,74,66,66,66,66,66,66,66,66
94,76,76,75,67,67,67,67,67,67,67,67
95,76,76,76,68,68,68,68,68,68,68,68
96,77,77,76,69,69,69,69,69,69,69,69
97,78,78,77,70,70,70,70,70,70,70,70
98,79,79,78,71,71,71,71,71,71,71,71
99,80,80,79,72,72,72,72,72,72,72,72
100,81,81,80,73,73,73,73,73,73,73,73
