n|d,2,3,4,5,6,7,8,9,10,11,12
10,7,4,2,0,0,0,0,0,0,,
11,7,5,2,1,0,0,0,0,0,0,
12,8,5,4,1,0,0,0,0,0,0,0
13,9,6,4,1,0,0,0,0,0,0,0
14,10,7,5,3,0,0,0,0,0,0,0
15,11,7,6,3,0,0,0,0,0,0,0
16,11,8,7,4,2,0,0,0,0,0,0
17,12,9,8,5,2,0,0,0,0,0,0
18,13,10,8,5,3,1,0,0,0,0,0
19,14,11,9,6,4,1,0,0,0,0,0
20,15,11,10,7,5,3,0,0,0,0,0
21,16,12,11,8,6,3,0,0,0,0,0
22,16,13,11,9,7,4,2,0,0,0,0
23,17,14,12,9,8,5,2,0,0,0,0
24,18,14,13,10,9,6,3,1,0,0,0
25,19,15,14,11,9,7,4,1,0,0,0
26,19,16,14,12,10,7,5,3,0,0,0
27,20,17,15,12,11,8,6,3,0,0,0
28,21,18,16,13,11,9,8,4,1,0,0
29,22,18,17,14,12,10,8,5,2,0,0
30,23,19,18,15,13,10,9,6,3,1,0
31,23,20,18,15,14,11,10,7,3,1,0
32,24,21,19,16,14,12,10,8,6,2,0
33,25,21,20,17,15,13,11,9,6,4,0
34,26,22,21,18,16,13,12,9,8,5,1
35,27,23,21,18,17,14,12,10,8,5,2
36,27,24,22,19,17,15,13,11,9,5,3
37,28,25,23,20,18,16,14,11,10,5,4
38,29,25,24,21,19,16,15,12,11,8,5
39,30,26,25,22,20,17,15,13,11,9,5
40,31,27,25,22,21,18,16,14,12,10,8
41,31,28,26,23,22,19,17,14,13,10,8
42,32,29,27,24,22,19,18,15,13,10,9
43,33,30,28,25,23,20,19,16,14,10,10
44,34,31,29,25,24,21,19,17,15,12,11
45,35,32,30,26,25,22,20,17,16,13,12
46,35,32,31,27,25,23,20,18,17,13,12
47,36,33,31,28,26,23,20,19,17,15,13
48,37,34,32,29,27,24,20,20,18,16,14
49,38,35,33,30,28,25,20,20,18,16,16
50,39,36,34,30,29,26,24,21,18,17,16
51,39,37,35,31,30,27,25,22,18,18,17
52,40,38,36,32,30,27,26,23,18,18,18
53,41,39,37,33,31,28,27,24,22,20,20
54,42,40,38,34,32,29,27,24,23,20,20
55,42,41,39,34,33,30,28,25,24,21,21
56,43,42,40,35,34,31,29,26,24,22,22
57,44,42,41,36,34,32,30,27,25,23,23
58,45,43,42,37,35,32,31,28,26,24,24
59,46,44,42,38,36,33,31,29,27,25,25
60,46,45,43,38,37,34,32,29,28,26,26
61,47,46,44,39,38,35,33,30,28,27,27
62,48,47,45,40,39,36,34,31,29,28,28
63,49,48,46,41,39,37,35,32,30,29,29
64,50,49,47,42,40,38,36,32,31,30,30
65,50,50,48,42,41,38,36,33,32,31,31
66,51,51,49,43,42,39,37,34,33,32,32
67,52,51,50,44,42,40,38,35,33,33,33
68,53,52,51,45,43,41,39,36,34,34,34
69,53,53,52,46,44,42,40,36,35,35,35
70,54,54,52,46,45,43,41,37,36,36,36
71,55,55,53,47,46,43,41,38,37,37,37
72,56,56,54,48,46,44,42,39,38,38,38
73,57,56,55,49,47,45,43,40,39,39,39
74,57,57,56,49,48,46,44,40,40,40,40
75,58,58,57,50,49,47,45,41,41,41,41
76,59,59,58,51,50,47,45,42,42,42,42
77,60,60,59,52,50,48,46,43,43,43,43
78,61,61,59,53,51,49,47,44,44,44,44
79,61,61,60,53,52,50,48,45,45,45,45
80,62,62,61,54,53,50,49,46,46,46,46
81,63,63,62,55,53,51,49,47,47,47,47
82,64,64,63,56,54,52,50,48,48,48,48
83,65,64,64,56,55,53,51,49,49,49,49
84,65,65,65,57,56,53,52,50,50,50,50
85,66,66,65,58,56,54,52,51,51,51,51
86,67,67,66,59,57,55,53,52,52,52,52
87,68,68,67,60,58,56,54,53,53,53,53
88,68,68,68,60,59,57,55,54,54,54,54
89,69,69,69,61,60,57,55,55,55,55,55
90,70,70,69,62,60,58,56,56,56,56,56
91,71,71,70,63,61,59,57,57,57,57,57
92,72,72,71,64,62,60,58,58,58,58,58
93,72,72,72,65,63,60,59,59,59,59,59
94,73,73,73,66,64,61,60,60,60,60,60
95,74,74,73,67,65,62,61,61,61,61,61
96,75,75,74,68,66,63,62,62,62,62,62
97,76,76,75,69,67,63,63,63,63,63,63
98,76,76,76,70,68,64,64,64,64,64,64
99,77,77,77,71,69,65,65,65,65,65,65
100,78,78,78,72,69,66,66,66,66,66,66
